Name,Worldwide Gross Revenue (sus),Domestic Opening,Domestic Gross,China Opening,China Gross,UK Opening,UK Gross,France Opening,France Gross,Germany Opening,Germany Gross,Italy Opening,Italy Gross,Spain Opening,Spain Gross,Japan Opening,Japan Gross,South Korea Opening,South Korea Gross,Australia Opening,Australia Gross,Russia/CIS Opening,Russia/CIS Gross,India Opening,India Gross
Doctor Strange in the Multiverse of Madness,984449078.12,193043627.94,423671555.21,0.0,0.0,25127979.91,53606090.44,9841695.32,30259026.88,7966127.12,25112831.7,6776476.09,14922167.23,6137418.77,14347561.13,9617227.42,17096447.79,14968357.58,50803449.11,10586448.15,27737578.64,0.0,0.0,13057136.96,21123619.04
Dodgeball: A True Underdog Story,295331148.02,52728270.7,200472623.6,0.0,0.0,6908126.47,31758028.69,0.0,3433803.23,0.0,7004267.7,1063042.0,2910225.61,0.0,10742972.32,0.0,1015974.39,0.0,99637.72,0.0,11419055.87,720101.81,2043495.62,0.0,89925.05
Dogville,30145110.88,35143211.26,2772897.29,0.0,0.0,0.0,1008937.08,0.0,6636506.97,0.0,3710446.02,0.0,5909810.89,0.0,2699863.57,0.0,8127500.56,0.0,4967461.51,0.0,12469917.54,0.0,2074282.63,0.0,348324.81
Don Jon,53003195.18,11661174.52,32895987.33,0.0,0.0,744139.94,1743039.39,1645321.88,3028940.24,449628.73,918951.21,632374.48,1484701.03,445774.38,910354.17,0.0,0.0,0.0,0.0,0.0,0.0,1758240.42,2665830.16,0.0,0.0
Don't Breathe,194026133.34,32483066.95,109726732.79,0.0,0.0,1678592.12,6172960.77,976592.41,3168675.31,1332586.78,5580853.98,632984.1,1441112.08,1006447.6,5377265.58,348934.89,5082243.44,4461965.17,9338406.43,1199666.93,4478922.67,1145767.71,2759549.16,854073.61,2601580.47
Don't Look Up,840087.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.06,4600.06,0.0,0.0,0.0,0.0,318338.96,602234.74,0.0,0.0,0.0,0.0,0.0,0.0
Don't Worry Darling,90237685.09,19933809.39,46668685.09,0.0,0.0,3100328.84,11637481.78,881648.07,2492569.1,630448.58,2743643.96,963053.09,2043304.73,473611.51,1482145.28,93730.0,93730.0,0.0,0.0,1400002.78,5441179.97,0.0,0.0,0.0,0.0
Doom,98863895.32,26368764.37,48029615.24,0.0,0.0,1802832.35,4097172.44,0.0,2208140.8,1909488.08,5303937.01,507023.72,1082006.87,1134172.82,2978566.67,0.0,413207.74,0.0,448945.22,1868566.69,4446717.7,2012136.28,5577625.26,0.0,0.0
Dope,22785116.03,7727310.16,22176672.43,0.0,0.0,0.0,0.0,166449.79,166449.79,19567.8,91093.44,0.0,0.0,3085.85,3085.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doubt,80546890.51,790241.58,52108510.46,0.0,0.0,582877.68,2976914.28,712156.25,1501095.37,250214.24,671621.06,1021330.21,3587752.8,1273962.42,5508821.66,0.0,547754.86,27948.38,107245.8,499417.36,2116017.32,32779.63,113205.03,0.0,0.0
Downfall,161640947.99,31905.04,9660134.99,0.0,0.0,0.0,6279094.76,0.0,11192125.88,0.0,68517130.29,532283.78,3015225.55,0.0,8139882.06,0.0,0.0,0.0,0.0,293696.48,3250805.58,0.0,0.0,0.0,0.0
Downsizing,65677521.17,5915677.77,29194284.91,0.0,0.0,1912659.24,3851050.3,2301473.71,5633042.01,1156249.79,2943982.51,429683.3,612175.09,192099.13,1073426.75,184454.81,524534.04,1176397.04,1392848.87,945691.81,3195842.76,1650355.8,2727053.05,61424.44,81335.26
Dr. Seuss' the Grinch,610659944.04,41240839.0,314609282.81,1943081.3,4530425.69,0.0,43793641.66,0.0,17273183.71,0.0,23356207.78,0.0,7693064.48,0.0,9855323.94,0.0,3477822.22,0.0,126360.87,0.0,7303426.67,0.0,2318548.15,0.0,554133.01
Dr. Seuss' the Lorax,483351373.1,57033837.92,296743059.69,0.0,0.0,0.0,17204071.09,0.0,3296249.82,0.0,5756890.24,0.0,3660531.72,0.0,13524983.71,0.0,2241442.84,0.0,2249442.33,0.0,16132071.93,0.0,3930727.25,0.0,0.0
Dracula Untold,283297938.1,30681239.08,73433097.98,0.0,0.0,3570677.52,10229648.79,2630485.37,6451247.46,3197020.49,8440966.55,3775992.72,8404123.67,2425736.45,8863903.56,1222866.05,4056299.75,3454239.56,12807704.46,2231845.85,6476823.63,12726816.35,26966328.01,182961.82,1299740.67
Drag Me to Hell,137407652.92,37216893.55,63680972.78,0.0,0.0,0.0,15886823.66,0.0,17877906.02,0.0,4149614.45,0.0,2473208.23,0.0,5530120.3,0.0,15597521.21,0.0,8323229.16,0.0,8765552.75,0.0,9145804.19,0.0,0.0
Dreamcatcher,146729209.99,21769295.31,60893827.74,0.0,0.0,0.0,5071558.54,0.0,1728778.97,0.0,6561551.54,0.0,5075839.02,0.0,9350747.19,0.0,22576390.43,0.0,2803966.02,0.0,1771753.58,0.0,1496242.15,0.0,174221.1
Dredd,56805832.45,8690899.9,18569101.48,0.0,6187525.4,2325997.38,9592386.36,0.0,0.0,594262.67,1310350.39,0.0,0.0,598383.54,1327833.26,0.0,0.0,265270.43,342642.18,1162043.57,2780053.78,2827528.85,5597868.07,0.0,0.0
Drishyam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drive,112228725.44,78561711.79,49989393.75,0.0,0.0,0.0,6692088.17,0.0,27855615.13,0.0,2560705.05,0.0,3416150.17,0.0,4414633.34,0.0,11125906.55,0.0,25704064.96,0.0,22146048.72,0.0,13378327.87,0.0,3186417.32
Drive Angry,58327748.14,7396312.82,15285629.52,0.0,0.0,1497259.94,2889114.81,1833606.92,3136676.8,1572475.96,4068588.34,788049.41,1672625.68,654817.76,1483892.01,0.0,0.0,188877.67,323545.07,0.0,0.0,2865308.88,8197671.71,0.0,0.0
Due Date,311007279.91,48005494.78,147644974.16,0.0,0.0,5577463.14,24002082.15,5011369.83,9553559.29,5460556.11,19133014.7,2935750.15,7939565.84,2028930.58,5736016.32,0.0,0.0,322582.52,547525.17,3784637.53,15224990.97,5704655.78,10987253.51,0.0,0.0
Dumb and Dumber To,221598776.27,47117675.64,112481899.68,0.0,0.0,3687061.99,11897302.88,1101963.15,2852029.33,2076834.88,4866008.06,2188316.0,4073629.75,1539884.18,2439607.49,0.0,0.0,911337.1,1683854.16,2796166.77,6353697.4,1610328.88,3272151.94,159919.53,159919.53
Dumbo,397624953.37,51762992.05,129170489.62,12096356.41,24637047.95,8903233.89,40043308.55,4026857.8,19869204.67,1689604.82,6876699.01,4212341.65,13802292.37,4189085.26,18342869.53,2553392.31,10088432.94,1696670.77,2757164.56,2200149.12,10280735.12,4644566.3,9321630.54,858550.5,1731578.42
Dune,426511324.85,43508754.5,114924994.85,23127620.0,41905550.0,8576058.86,30559008.08,7648410.02,26980965.81,4713196.78,22250681.12,2656974.19,8779868.36,2612135.25,9897567.89,1372499.06,7108030.0,2710540.09,13202037.99,3584950.84,11048574.37,8228203.54,22254386.84,0.0,0.0
Dune,32866486.79,4816475.39,32809064.52,0.0,0.0,0.0,57422.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dunkirk,630240273.52,0.0,226560276.79,0.0,60861435.42,0.0,88797500.86,0.0,0.0,0.0,9194202.68,0.0,11863771.67,0.0,12656954.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eagle Eye,278513757.86,45415873.49,158041372.31,0.0,0.0,2952215.83,8617243.98,1692552.43,4197293.53,1890848.97,5265569.98,213410.38,319746.33,1646740.4,3522050.2,3682199.9,20708230.26,4395474.78,16608415.63,2249154.99,8108411.82,3210774.54,7118421.68,0.0,158510.72
Eastern Promises,90035764.85,3689220.1,27706861.38,0.0,0.0,0.0,7059451.85,0.0,4463227.79,0.0,5433024.1,0.0,7536547.12,0.0,7736954.09,0.0,0.0,0.0,0.0,0.0,2103145.91,0.0,73818.1,0.0,0.0
Easy A,110178690.6,2120282.19,85764518.8,0.0,0.0,0.0,1823168.45,0.0,35133927.48,0.0,2931914.34,0.0,121046.83,0.0,2051562.16,0.0,40242910.75,0.0,13923987.58,0.0,21791040.16,0.0,6614863.26,0.0,0.0
Eat Pray Love,300453210.07,52196331.68,118325650.11,0.0,0.0,0.0,10825274.24,0.0,7276556.65,0.0,20952416.37,0.0,7343606.96,0.0,9836265.25,0.0,0.0,0.0,0.0,0.0,14987496.76,0.0,4864178.69,0.0,0.0
Eddie the Eagle,56762122.54,7483391.37,19418956.88,408833.44,1193417.94,4962109.36,15746102.16,408780.56,682876.39,666667.89,1514902.05,70215.96,70215.96,28383.03,66076.2,0.0,0.0,952169.58,1904432.62,2495676.04,7252187.38,250877.05,564246.45,0.0,0.0
Eden Lake,6207984.47,9093813.75,11405.88,0.0,0.0,0.0,1355592.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963679.19,0.0,2010879.45,0.0,0.0
Edge of Darkness,119137032.61,25279903.26,63607907.73,0.0,0.0,2698505.59,7617356.33,2301700.44,4166977.63,1010261.61,2550003.06,1280526.15,2673055.9,2241487.62,5112491.59,0.0,0.0,808740.61,1738507.48,1829665.24,4417612.28,631189.01,1039160.89,0.0,0.0
Edge of Tomorrow,483472294.33,118504276.03,130746435.68,0.0,85671407.25,0.0,17359383.53,0.0,38686674.95,0.0,8427625.24,0.0,5768895.45,0.0,5381685.74,0.0,13025810.34,0.0,43992908.27,0.0,27558552.82,0.0,29428361.94,0.0,12111769.76
Eighth Grade,16632607.11,305813.02,15696233.62,0.0,0.0,188172.21,699937.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34337.7,141572.87,0.0,0.0,0.0,0.0
El Camino: A Breaking Bad Movie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Election,25369727.28,34296526.97,25369727.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elektra,97031272.1,21799302.95,41555917.75,0.0,0.0,2520011.22,4694484.7,0.0,5377732.38,714092.36,1258961.17,1146108.58,2634782.44,3554324.42,7310216.92,0.0,826153.31,1201521.07,2043711.3,0.0,6435823.47,548156.21,1107722.12,0.0,173774.15
Elephant,18082825.42,168611.32,2288261.66,0.0,0.0,267495.91,646584.21,0.0,8086476.55,0.0,180468.44,0.0,1873480.99,0.0,233651.19,0.0,0.0,0.0,147239.61,0.0,48373.08,0.0,0.0,0.0,0.0
Elf,410630507.62,69226726.49,321583921.01,0.0,0.0,0.0,4810075.17,0.0,914546.1,0.0,1448344.08,0.0,1615440.07,0.0,7372858.52,0.0,0.0,0.0,0.0,0.0,190806.62,0.0,899694.44,0.0,0.0
Elvis,297330392.52,193043627.94,155571249.44,0.0,0.0,0.0,30749487.13,0.0,30259026.88,0.0,6243748.76,0.0,3311572.57,0.0,4311653.13,0.0,17096447.79,0.0,50803449.11,0.0,27737578.64,0.0,0.0,0.0,21123619.04
Elysium,384549173.53,40058643.68,125051576.34,0.0,34525211.79,4504747.23,18869760.55,5584746.65,17913426.97,3906231.38,13703762.11,2765677.77,8571772.83,4110405.88,14505151.55,2065711.02,10278384.01,5356084.66,11091085.19,4291374.97,14682852.23,9436006.48,21242399.22,503729.43,844142.1
Encanto,272425054.59,28863369.48,101945723.58,3421351.58,12795136.16,2528492.83,11145844.04,3825296.68,25513225.52,963144.43,6089825.92,2186897.88,5847056.99,1736100.26,8674238.79,1654135.12,7158083.26,2279676.77,5346411.92,858358.28,4557855.55,2004806.07,6036226.07,98257.38,171341.72
Enchanted,546383064.59,69909252.65,205093136.29,0.0,0.0,0.0,54144435.27,0.0,17255616.95,0.0,19560379.78,0.0,17357872.06,0.0,19629897.27,0.0,16477711.43,0.0,4689972.81,0.0,17150341.79,0.0,2399055.38,0.0,1013731.57
End of Watch,76241035.23,18206389.3,56758254.95,0.0,0.0,1372618.76,4178694.76,624816.87,624816.87,759897.33,2624007.71,329188.81,583778.49,581428.06,1546605.89,0.0,0.0,0.0,0.0,1056682.61,2798693.87,1072370.13,2044013.72,0.0,0.0
Ender's Game,168720670.18,36309060.54,82969622.2,0.0,30520340.97,2516877.19,6438310.95,2797668.36,4699181.02,1070587.98,2263367.52,1011004.1,1824326.17,1496769.4,3853267.64,888764.16,2067159.76,1846714.47,6164731.24,1040935.81,3065475.95,1527949.6,3358613.68,0.0,0.0
Enemy,4525245.67,21086.44,1316158.63,0.0,0.0,0.0,0.0,886528.14,1464936.7,56681.96,283165.79,0.0,0.0,88404.91,253346.5,0.0,0.0,0.0,0.0,0.0,0.0,88540.6,154684.78,0.0,0.0
Enola Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enola Holmes 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enter the Void,1166077.45,64102.97,494113.13,0.0,0.0,0.0,201639.96,197871.7,197871.7,27145.85,59784.01,5479.1,8599.73,0.0,0.0,0.0,0.0,0.0,0.0,631.47,27398.43,0.0,111828.84,0.0,0.0
Entourage,62405406.29,13026513.44,40996991.92,0.0,0.0,1273500.43,2886096.21,113521.6,113521.6,43736.5,63262.5,0.0,0.0,64609.07,176719.49,0.0,0.0,0.0,0.0,3297730.62,7215737.73,588830.2,1029268.43,149473.8,268260.1
Epic,360742950.08,45062951.5,144496117.83,0.0,10791648.53,6486252.48,28197779.31,4624937.7,13723197.83,2283221.2,14313714.69,2103706.22,4661797.3,1948502.7,7670711.84,0.0,0.0,2510990.83,8099914.38,898672.85,10210021.68,2604743.78,19939591.9,694919.0,1530066.27
Epic Movie,139991633.88,29867669.2,63770018.11,0.0,0.0,4280437.28,16239659.65,0.0,3431038.88,1118348.8,3004000.83,2424642.43,6852300.29,2830857.82,6999137.35,0.0,29282.68,0.0,0.0,3433654.56,8236910.01,1768115.3,3880016.49,0.0,166952.05
Equilibrium,9695597.03,16435612.24,2174185.87,0.0,0.0,0.0,3132633.11,0.0,23371325.01,0.0,0.0,0.0,34729.71,0.0,0.0,0.0,42919883.74,0.0,0.0,0.0,8034245.61,0.0,2618861.29,0.0,0.0
Eragon,413915214.57,38412025.26,124013427.26,0.0,7233310.81,4250459.67,18226365.71,0.0,37016309.48,6406549.82,22816040.94,3523049.69,23492291.98,6769630.86,23530074.43,3566960.89,26099602.93,0.0,9517832.18,2751107.03,10867317.81,3500336.25,7536714.14,0.0,1400702.42
Escape Plan,184557753.06,13285597.16,33780635.07,0.0,55006497.41,2088995.72,6081069.75,2109532.1,5368467.5,1208260.12,3113898.6,1035507.73,1957635.95,934654.87,2207917.53,2067159.76,7797660.86,1054311.81,2400323.35,0.0,0.0,4251130.05,9333054.42,0.0,0.0
Escape Room,175255314.49,20527223.26,64160306.14,9428845.38,38245580.6,1207695.71,3756836.98,2120932.44,7501221.34,1366294.54,6103244.85,953366.74,2115427.57,1116252.63,4057097.97,0.0,0.0,3277321.83,4970563.17,1053513.39,3184319.91,1868085.76,4235357.18,243121.16,415705.55
Escape Room,185928363.14,21777331.16,68067668.79,10003062.07,40574736.45,1281244.38,3985628.35,2250097.22,7958045.71,1449501.87,6474932.46,1011426.77,2244257.11,1184232.41,4304175.24,0.0,0.0,3476910.73,5273270.47,1117672.35,3378245.0,1981852.18,4493290.43,257927.24,441022.02
Eternal Sunshine of the Spotless Mind,129823827.9,27320111.78,60321136.03,0.0,0.0,0.0,15871577.72,0.0,1148081.79,0.0,2187625.05,0.0,6168243.36,0.0,2280452.16,0.0,3701958.14,0.0,3928716.28,0.0,1427080.38,0.0,3688713.91,0.0,44521.52
Eternals,426550651.35,75639219.64,174910831.25,0.0,0.0,7812111.14,21171351.17,6106937.18,17230422.75,3650832.73,9975404.0,3981654.24,10361165.27,3087997.7,9117687.57,3886658.07,11180348.76,15232456.31,28519662.29,5161135.28,11643158.95,3081569.71,9897501.05,2890435.84,5904886.65
EuroTrip,39638272.62,11768452.47,31162234.68,0.0,0.0,471864.97,1621719.55,0.0,0.0,0.0,950.4,0.0,15066.12,0.0,126887.21,0.0,0.0,0.0,0.0,0.0,504902.78,680726.83,1800080.93,0.0,0.0
Eurovision Song Contest: The Story of Fire Saga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Almighty,279926153.04,50054990.14,161212496.49,0.0,0.0,3773070.83,19534832.86,1490290.87,2706123.98,2042048.32,6294929.58,2933557.42,9355870.21,2747499.73,10245063.72,0.0,0.0,1108191.01,2698527.3,1833784.7,10572383.72,2604653.58,5391739.82,0.0,0.0
Everest,257695977.14,9148657.86,55082038.71,7006321.64,19567475.69,6220478.28,20007546.55,3016579.86,8931568.94,3240168.58,11858975.79,2221141.99,6470499.43,1988238.71,8329908.89,1707169.03,7769603.82,0.0,3410763.24,2918843.48,9313805.41,0.0,13279578.63,1774469.99,3880981.96
Everything Everywhere All at Once,147671599.55,138028882.72,79507538.55,12051000.0,0.0,0.0,7853345.21,0.0,23424749.25,0.0,3333070.73,0.0,3023662.85,0.0,1625306.01,0.0,9205873.23,0.0,7754651.64,0.0,26862910.88,0.0,1226308.73,0.0,6798000.0
Evil Dead,131089570.88,34640582.97,72893830.89,0.0,0.0,2815867.67,7058289.14,1587628.9,3652063.19,3321192.33,8783071.42,873286.27,2744918.29,1898006.38,4702356.69,162475.46,824359.65,0.0,0.0,157791.91,500837.32,3092369.06,7981844.6,0.0,0.0
Ex Machina,47370397.22,45865096.87,32230377.98,0.0,0.0,0.0,4835201.86,0.0,14213227.45,0.0,1676044.49,0.0,1094977.06,0.0,1169240.19,0.0,9484397.54,0.0,59392971.3,0.0,17739746.88,0.0,15989558.33,0.0,3101343.25
Exam,579655.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12080.16,14036.25,0.0,0.0,36171.45,170658.3,0.0,0.0
Exodus: Gods and Kings,349908371.89,31465823.99,84829193.12,0.0,0.0,5295892.99,14897905.43,6438827.33,17737350.23,4244534.16,11485850.49,3952995.64,8895062.85,5135390.23,23626280.89,2019830.64,8284204.57,5891168.35,14735904.79,2918306.59,9205163.07,9544832.06,19339708.25,2117205.86,3932538.1
Extraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extraction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremely Loud &amp; Incredibly Close,76475988.17,100146.55,44084915.59,0.0,0.0,815735.94,1521458.51,1311366.42,2488438.61,482943.97,1261802.54,350496.32,1142585.4,305990.43,697782.6,1722345.45,8457000.37,0.0,0.0,601070.34,1739270.48,0.0,0.0,0.0,0.0
Eye in the Sky,43364925.73,139963.34,23004292.55,1264486.21,3103426.82,1941291.94,8163301.31,0.0,0.0,0.0,0.0,152723.28,328692.4,531809.76,1785295.97,0.0,0.0,54191.93,119216.59,304569.65,2550830.96,0.0,0.0,0.0,0.0
F9: The Fast Saga,770456877.61,74308793.75,183542007.05,144283460.9,230146640.67,8856735.87,24170571.69,9652506.35,21053033.23,6346245.45,23438802.13,1109767.18,6123033.15,3524706.58,11400663.74,7744570.0,35283202.14,5934435.9,20442785.52,7103393.87,16786279.09,7412766.1,19114151.49,1697440.0,3283020.83
Fahrenheit 9/11,390061954.08,41944981.77,209008752.44,0.0,0.0,0.0,21340422.92,0.0,28156025.65,0.0,12926348.63,2689436.4,18946489.12,0.0,7507050.5,4105220.7,26237057.01,0.0,3331661.5,0.0,10293883.64,229525.17,557230.91,0.0,0.0
Failure to Launch,215240691.21,40348195.77,146632695.04,0.0,0.0,3108900.61,9156886.62,0.0,1446111.1,2379812.99,8917673.29,1134046.86,3753347.56,1872316.05,6291946.32,0.0,0.0,420816.66,748849.07,1832451.01,6839101.69,715742.53,1870116.11,0.0,1.65
Fall,17884158.83,2587509.35,7457736.63,0.0,0.0,261109.12,261109.12,0.0,0.0,0.0,0.0,94706.44,317081.38,59449.54,135413.07,0.0,0.0,311140.34,637339.28,506950.55,1597219.97,457475.53,2709618.94,0.0,0.0
Fallen,30128672.63,12420037.65,30128672.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fantastic Beasts and Where to Find Them,1003623286.7,91506781.17,287836697.02,49754573.05,105724153.8,23281278.6,83631422.85,11131025.07,37880115.06,11211076.33,44890396.09,7726586.63,19923956.62,5416600.64,17833171.05,8938496.96,78342965.23,13108429.8,40954799.72,8802834.49,29762947.54,12568528.7,27180212.43,0.0,0.0
Fantastic Beasts: The Crimes of Grindelwald,760200815.1,72064074.85,184969019.43,42523703.29,66426404.46,18327846.05,48669322.36,13260340.27,39647173.34,13833385.67,51123986.68,7754045.77,17273183.71,5349376.31,14722780.74,8764420.37,67701605.94,9488050.84,21330642.97,7287778.79,19823586.67,14764111.18,27127013.34,0.0,0.0
Fantastic Beasts: The Secrets of Dumbledore,419365369.32,43415793.68,98726369.32,10300000.0,29973000.0,7901815.98,26157392.81,6931840.26,21145413.84,8453091.55,33577513.84,0.0,9132908.03,2962884.61,9330869.91,6507510.13,35148801.5,3006285.72,9808741.5,4019056.91,13599753.32,0.0,0.0,0.0,1236000.0
Fantastic Four,212669010.83,32537923.15,71088030.85,0.0,0.0,5274626.67,11247027.03,4645576.52,10792471.93,737380.53,1578966.83,1313130.07,2635294.74,1473869.25,4761436.57,0.0,3170776.18,1961786.02,2482822.49,2462554.17,4907832.13,0.0,0.0,1164149.04,1670753.19
Fantastic Four,285809367.03,43728247.87,95536369.03,0.0,0.0,7088657.18,15115063.85,6243266.37,14504179.8,990977.77,2121999.39,1764737.0,3541615.76,1980757.03,6398972.6,0.0,4261258.05,2636476.37,3336705.81,3309466.88,6595715.98,0.0,0.0,1564518.96,2245352.58
Fantastic Four,422513342.26,71017035.98,195964365.85,0.0,3173799.96,7822913.3,29289906.93,0.0,20725038.79,1674154.47,6107063.09,5151117.85,15724191.54,5623687.7,19412397.69,2329990.48,11492408.0,2168958.67,5554798.21,3532838.08,11653770.44,948006.39,2773381.54,0.0,1500310.55
Fantastic Four,567822601.15,95440957.87,263359721.04,0.0,4265321.76,10513341.32,39363185.67,0.0,27852719.09,2249923.62,8207382.12,6922671.65,21131998.56,7557766.01,26088639.22,3131312.37,15444835.35,2914899.08,7465184.3,4747838.96,15661692.98,1274041.32,3727192.88,0.0,2016291.92
Fantastic Four: Rise of the Silver Surfer,484481945.36,93155911.12,211695662.43,0.0,0.0,13115254.49,39570082.19,7708756.19,22259064.35,2729159.54,5564316.37,4781444.28,16107467.15,5357596.48,16831770.65,2882859.93,12889091.98,3260861.37,14970230.95,4017031.14,13104806.25,2736204.21,5924313.0,0.0,3305054.99
Fantastic Mr. Fox,87862191.11,45454947.27,31768799.47,0.0,0.0,0.0,35554421.3,0.0,18943625.31,0.0,892742.56,0.0,450465.86,0.0,206671.18,0.0,26624073.42,0.0,3488653.58,0.0,7092167.17,0.0,20156035.55,0.0,0.0
Farha,724.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fast &amp; Furious,545087224.74,23311176.71,234548613.93,0.0,0.0,0.0,31078855.87,0.0,1963341.46,0.0,23329566.78,0.0,16882032.07,0.0,13230988.37,0.0,0.0,0.0,0.0,0.0,7907029.51,0.0,3724672.03,0.0,0.0
Fast &amp; Furious 6,1059921270.97,94296644.01,320765759.83,0.0,89357000.06,0.0,51443135.38,0.0,10825001.84,0.0,40203837.72,0.0,22418920.07,0.0,17004387.14,0.0,14539136.5,0.0,15357310.11,0.0,13594012.53,0.0,14136608.01,0.0,1301248.38
Fast &amp; Furious Presents: Hobbs &amp; Shaw,856211610.27,67574367.17,195790062.9,106854669.66,226228382.81,8730267.95,29531092.28,7485192.96,22970267.32,5885507.29,21143746.6,2524590.54,7856276.6,2748761.51,11265243.57,5282110.76,32225283.49,14234278.41,30692916.76,5540398.15,14432370.21,9446486.61,21577079.87,8254357.81,15375485.81
Fast Five,892722606.8,93705764.67,299178349.6,0.0,0.0,0.0,43120462.75,0.0,26192637.57,0.0,38598751.92,0.0,22091084.21,0.0,20671042.06,0.0,8180211.84,0.0,21089531.39,0.0,28708234.39,0.0,23587011.07,0.0,1427779.76
Faster,52319388.93,12516537.53,34128752.87,0.0,0.0,370371.55,717400.75,350731.38,590219.85,295524.79,877992.25,243880.86,478536.4,795774.92,1587370.4,51367.84,216251.87,0.0,0.0,1002142.09,2073610.72,0.0,0.0,399126.9,1218125.22
Father of the Bride,92005553.4,7242080.38,92005553.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fear Street: Part One - 1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fences,79222031.1,159221.93,70942696.11,0.0,0.0,157748.54,2674245.11,433810.95,917239.93,123791.72,324914.23,154617.28,321845.69,451904.85,1156981.7,0.0,0.0,0.0,0.0,299903.51,1110840.52,0.0,0.0,0.0,0.0
Fifty Shades Darker,455585693.65,55651493.9,136816004.7,0.0,0.0,11034568.02,34130384.87,9878059.12,29715850.54,10184326.37,39057307.33,8156394.52,18862355.77,6048662.96,16412375.39,0.0,0.0,782117.39,1647315.74,5651080.56,16460751.22,7764679.69,15973687.74,0.0,0.0
Fifty Shades of Grey,721617435.21,107892644.65,210495675.47,0.0,0.0,26445279.7,65370116.99,15487007.84,36345746.61,17907054.27,52483111.67,12262153.24,25967448.96,10456254.68,48546974.54,854609.97,4589378.79,1581450.97,3146352.86,10281619.02,23093085.57,14106271.52,22370346.37,0.0,0.0
Fighting with My Family,46712433.34,156198.11,25840428.46,2440087.34,3308232.81,3005777.07,8675038.11,0.0,0.0,221120.84,435719.35,60747.09,107669.55,0.0,0.0,48122.25,199577.47,0.0,0.0,971759.8,2655010.0,0.0,0.0,0.0,0.0
