Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
End of Watch,9689637.1,56758254.95,18206389.3,76241035.23
End of the Line,311593.48,0.0,0.0,0.0
End of the Road,0.0,0.0,0.0,0.0
End of the Spear,16528476.32,19779627.62,7788218.04,20045909.63
Ender's Game,147830801.73,82969622.2,36309060.54,168720670.18
"Endings, Beginnings",0.0,0.0,0.0,261414.17
Endless Corridor,0.0,0.0,0.0,0.0
Endless Love,26095463.68,30581600.08,17362779.85,45299341.12
Endless Poetry,0.0,188711.85,35163.32,687535.16
Enduring Love,0.0,628389.94,60688.84,3288961.87
Enemies Closer,6719581.9,0.0,0.0,0.0
Enemy,0.0,1316158.63,21086.44,4525245.67
Enemy Territory,0.0,0.0,0.0,0.0
Ennio,0.0,0.0,0.0,4380839.26
Enola Holmes,21854540.0,0.0,0.0,0.0
Enola Holmes 2,0.0,0.0,0.0,0.0
Enough,70691193.72,74426185.27,26062081.43,96374762.88
Enough Said,10751331.03,23586904.35,312863.73,33986129.3
Enron: The Smartest Guys in the Room,0.0,6931796.7,130472.77,8263889.28
Enter Nowhere,652386.59,0.0,0.0,0.0
Enter the Void,23496539.42,494113.13,64102.97,1166077.45
Entergalactic,0.0,0.0,0.0,0.0
Entourage,38003102.44,40996991.92,13026513.44,62405406.29
Envy,70140242.12,23781618.98,10803150.89,25415379.86
Eorin shinbu,0.0,0.0,0.0,522116.95
Epic,134391637.93,144496117.83,45062951.5,360742950.08
Epic Movie,32094128.78,63770018.11,29867669.2,139991633.88
Equals,19677981.85,40903.15,11322.22,2563829.5
Equilibrium,36122224.69,2174185.87,978030.91,9695597.03
Eragon,165284763.23,124013427.26,38412025.26,413915214.57
Erased,16610806.45,0.0,0.0,1819900.72
Ernest &amp; Celestine,9888000.0,269937.25,13470.34,8415442.99
Eros,0.0,330346.51,94103.66,2723229.97
Escape Plan,67195818.97,33780635.07,13285597.16,184557753.06
Escape Plan 2: Hades,23185481.49,0.0,0.0,20394675.22
Escape Plan: The Extractors,4051831.72,0.0,0.0,1987752.11
Escape Room,10129579.29,64160306.14,20527223.26,175255314.49
Escape Room,10746470.67,68067668.79,21777331.16,185928363.14
Escape Room,0.0,0.0,0.0,2105628.89
Escape Room,0.0,0.0,0.0,2233861.69
Escape Room: Tournament of Champions,15913500.0,26856421.46,9337395.71,69780156.44
Escape from Mogadishu,25461600000.0,367358.9,119656.79,31723791.4
Escape from Planet Earth,53756655.17,76620673.63,21356249.1,100712003.55
Escape from Tomorrow,0.0,224371.41,82588.23,224371.41
Escape the Field,0.0,0.0,0.0,1107125.37
Escobar: Paradise Lost,22181144.13,255464.15,139439.81,8820959.56
Essential Killing,4650846.27,0.0,0.0,720051.45
Eternal Sunshine of the Spotless Mind,35070121.06,60321136.03,14335259.18,129823827.9
Eternals,212180000.0,174910831.25,75639219.64,426550651.35
Etz Limon,0.0,887530.41,22749.44,11509465.59
Eulogy,11397789.35,131646.22,73275.51,157431.53
EuroTrip,43837651.33,31162234.68,11768452.47,39638272.62
Europa Report,0.0,168912.82,29892.73,168912.82
Eurovision Song Contest: The Story of Fire Saga,0.0,0.0,0.0,0.0
Evan Almighty,280823626.84,161212496.49,50054990.14,279926153.04
Evelyn,18602945.72,2767457.92,121559.09,7788897.11
Even Money,0.0,100423.46,34999.74,174451.84
Even the Rain,0.0,738568.38,76606.13,10427280.86
Evening,0.0,12867255.43,3618390.0,20617255.59
Everest,69672354.48,55082038.71,9148657.86,257695977.14
Everly,0.0,0.0,0.0,453701.31
Every Breath You Take,0.0,0.0,0.0,359402.15
Every Day,5680442.96,7073978.51,3496543.34,12081777.03
Every Secret Thing,0.0,135091.0,126589.09,162748.27
Every Thing Will Be Fine,15201240.98,11696.09,1808.95,702997.86
Everybody Knows,11592740.74,3083860.32,82548.43,23053571.17
Everybody Wants Some!!,12298738.65,4181913.05,384157.25,5712114.73
Everybody's Fine,31764384.22,13929251.22,5826598.48,24872434.01
Everybody's Talking About Jamie,0.0,0.0,0.0,0.0
Everyone's Hero,57849667.13,24004473.1,10019168.97,27482208.32
Everything Everywhere All at Once,14729000.0,79507538.55,516344.15,147671599.55
Everything Is Illuminated,11917031.43,2915139.12,113732.74,6132119.62
Everything Must Go,7128804.43,3866154.53,1128740.68,4021344.32
"Everything, Everything",11940522.97,40742425.58,14003116.96,73698268.96
Evidence,0.0,0.0,0.0,242239.58
Evidence,0.0,0.0,0.0,249506.77
Evidence,16750.57,0.0,0.0,0.0
Evidence,17253.09,0.0,0.0,0.0
Evil Aliens,2975125.74,0.0,0.0,0.0
Evil Dead,22846578.45,72893830.89,34640582.97,131089570.88
Evil Eye,0.0,0.0,0.0,0.0
Ex Machina,19001551.22,32230377.98,300558.94,47370397.22
Exam,0.0,0.0,0.0,579655.22
Excision,0.0,0.0,0.0,3816.33
Exiled,57849667.13,85877.0,25622.44,2033225.72
Exists,0.0,0.0,0.0,539872.09
Exit 0,0.0,0.0,0.0,0.0
Exit Humanity,415270.16,0.0,0.0,0.0
Exit Through the Gift Shop,0.0,4833311.58,250760.94,7909877.97
Exodus: Gods and Kings,182668245.74,84829193.12,31465823.99,349908371.89
Exorcist: The Beginning,140280484.25,73335105.6,31657800.04,136966394.63
Expedition Happiness,59702.61,0.0,0.0,745963.87
Expelled,0.0,0.0,0.0,0.0
Expelled: No Intelligence Allowed,5452885.96,12028267.19,4628484.38,12028267.19
Experimenter,2153509.14,197077.76,10998.1,283940.18
Exposed,7379243.19,0.0,0.0,331961.4
Extinction,0.0,0.0,0.0,1683108.29
Extinction,0.0,0.0,0.0,1839177.88
Extinction,8114918.52,0.0,0.0,2725099.77
Extinction,8867390.57,0.0,0.0,2977790.1
Extortion,0.0,0.0,0.0,10289.15
Extra Ordinary,0.0,184972.87,92902.87,251999.17
Extract,12100717.8,16370997.58,6564802.77,16409757.69
Extraction,71027255.0,0.0,0.0,0.0
Extraction,82340055.29,0.0,0.0,0.0
Extraction,87354564.66,0.0,0.0,0.0
Extraction,13112724.0,18330.5,11963.18,776531.14
Extraction,15201240.98,21250.07,13868.6,900212.42
Extraction,16126996.55,22544.2,14713.2,955035.36
Extraction,0.0,0.0,0.0,0.0
Extraction,0.0,0.0,0.0,0.0
Extraction,0.0,0.0,0.0,0.0
Extraordinary Measures,45524545.12,17722724.5,8829696.99,22225219.5
Extraterrestrial,3090000.0,0.0,0.0,126598.33
Extreme Movie,0.0,0.0,0.0,82923.19
Extreme Ops,72244449.39,8745658.38,4033994.6,19794030.92
Extremely Loud &amp; Incredibly Close,55369354.83,44084915.59,100146.55,76475988.17
"Extremely Wicked, Shockingly Evil and Vile",0.0,0.0,0.0,11048638.27
Eye in the Sky,15988360.25,23004292.55,139963.34,43364925.73
Eyjafjallajökull,0.0,0.0,0.0,25838501.85
F,0.0,0.0,0.0,737428.61
F*&amp;% the Prom,0.0,0.0,0.0,0.0
F*ck,0.0,35879.63,8503.34,45729.32
F9: The Fast Saga,212180000.0,183542007.05,74308793.75,770456877.61
Faces in the Crowd,14257608.87,0.0,0.0,133677.91
Facing the Giants,151258.97,15395638.89,2100987.13,15591755.22
Fack ju Göhte 2,0.0,0.0,0.0,105177290.04
Factory Girl,11232945.07,2688270.02,0.0,5733025.57
Factotum,1702433.06,1375942.15,100804.47,4610336.84
Fading Gigolo,0.0,4918829.2,235904.3,29626576.56
Fahrenheit 11/9,5796370.37,7364063.66,3487749.09,7737189.93
Fahrenheit 451,0.0,0.0,0.0,0.0
Fahrenheit 9/11,10521036.32,209008752.44,41944981.77,390061954.08
Failure to Launch,82642381.61,146632695.04,40348195.77,215240691.21
Fair Game,32307741.7,14010826.38,956135.87,37898380.52
Fall,3090000.0,7457736.63,2587509.35,17884158.83
Fallen,0.0,0.0,0.0,3079373.71
Falling,0.0,0.0,0.0,1065170.61
Falling Inn Love,0.0,0.0,0.0,0.0
Falling for Christmas,0.0,0.0,0.0,0.0
False Positive,0.0,0.0,0.0,0.0
Fame,27226615.05,33965973.69,15143567.32,116789829.77
Fanboys,5899099.93,1041461.89,259459.05,1453905.78
Fantastic Beasts and Where to Find Them,221377295.78,287836697.02,91506781.17,1003623286.7
Fantastic Beasts: The Crimes of Grindelwald,231854814.86,184969019.43,72064074.85,760200815.1
Fantastic Beasts: The Secrets of Dumbledore,206000000.0,98726369.32,43415793.68,419365369.32
Fantastic Four,152012409.77,71088030.85,32537923.15,212669010.83
Fantastic Four,204291967.35,95536369.03,43728247.87,285809367.03
Fantastic Four,126677008.14,195964365.85,71017035.98,422513342.26
Fantastic Four,170243306.12,263359721.04,95440957.87,567822601.15
Fantastic Four: Rise of the Silver Surfer,208611837.08,211695662.43,93155911.12,484481945.36
Fantastic Fungi,0.0,2012772.17,10601.17,2113339.75
Fantastic Mr. Fox,60503588.99,31768799.47,402197.61,87862191.11
Fantasy Island,7649089.0,29841597.44,13451928.32,54032408.53
Far Cry,46739022.5,0.0,0.0,1220669.03
Far from Heaven,24382501.67,28720508.13,381593.38,52427641.59
Far from the Madding Crowd,15201240.98,15500832.1,208998.06,38762365.16
Farce of the Penguins,0.0,0.0,0.0,10963.35
"Farewell, My Queen",0.0,2212002.96,99803.26,8813188.66
Farha,0.0,0.0,0.0,724.09
Fasandræberne,50886154.17,0.0,0.0,15052018.72
Fasle kargadan,0.0,0.0,0.0,528125.36
Fast &amp; Furious,128570126.61,234548613.93,107318997.27,545087224.74
Fast &amp; Furious 6,215026620.7,320765759.83,130864186.7,1059921270.97
Fast &amp; Furious Presents: Hobbs &amp; Shaw,225101762.0,195790062.9,67574367.17,856211610.27
Fast Color,0.0,86569.64,42312.38,86569.64
Fast Five,178220110.86,299178349.6,122898827.63,892722606.8
Fast Food Nation,0.0,1613594.91,659219.82,3545313.24
Faster,35244809.12,34128752.87,12516537.53,52319388.93
Fat Albert,44263259.59,81914817.36,17060949.95,82655375.74
"Fat, Sick &amp; Nearly Dead",3261932.96,0.0,0.0,0.0
Fatal Affair,0.0,0.0,0.0,0.0
Fatale,0.0,6891716.64,1003245.77,7683279.34
Fateful Findings,0.0,0.0,0.0,0.0
Fateless,4256082653.1,335135.87,21586.85,4276527.17
Father Christmas Is Back,0.0,0.0,0.0,6101.24
Father Figures,29851307.41,20897400.59,3925388.42,30688629.42
Father Stu,4120000.0,21723397.31,5564721.26,22452207.8
Father of Invention,0.0,0.0,0.0,139408.05
Father of the Bride,0.0,0.0,0.0,0.0
Father of the Year,0.0,0.0,0.0,0.0
Fatherhood,0.0,0.0,0.0,0.0
Fathers &amp; Daughters,27549174.59,0.0,0.0,6872177.27
Fatman,0.0,304191.16,118347.8,1804543.57
Fauci,0.0,0.0,0.0,0.0
Faults,0.0,0.0,0.0,0.0
Fauteuils d'orchestre,13222781.06,3379838.7,48555.7,29239755.58
Fear Clinic,1266770.08,0.0,0.0,135511.46
Fear Street: Part One - 1994,0.0,0.0,0.0,0.0
Fear Street: Part Three - 1666,0.0,0.0,0.0,0.0
Fear Street: Part Two - 1978,0.0,0.0,0.0,0.0
Fear X,11920334.15,0.0,0.0,0.0
Fear of Rain,0.0,0.0,0.0,26061.01
"Fear, Inc.",0.0,0.0,0.0,0.0
Feardotcom,74411782.87,24664248.65,10622520.12,35163315.9
Fearless,0.0,40715802.3,17460682.39,112514045.64
Feast,3200000.0,56131.0,54556.0,719135.0
Feast of Love,0.0,5634243.06,2740785.64,9213595.33
Fed Up,0.0,2007914.15,164437.95,2017478.14
Feed,0.0,0.0,0.0,54550.58
Feel the Beat,0.0,0.0,0.0,226935.36
Feel the Noise,0.0,9465189.23,5114444.94,10352131.34
Felon,4518105.51,0.0,0.0,0.0
Femme Fatale,65110310.01,12334221.8,5164639.08,31325332.87
Fences,29516972.77,70942696.11,159221.93,79222031.1
Feral,0.0,0.0,0.0,0.0
Ferdinand,132539804.91,100790408.09,16002194.54,353522107.0
Fever Pitch,51072991.84,71623178.79,21110382.76,86151902.56
Fido,12837651.51,488686.07,16372.82,683964.4
Fierce People,0.0,141169.72,33004.06,445863.91
Fifty Dead Men Walking,9075538.35,0.0,0.0,1229541.83
Fifty Shades Darker,65672876.31,136816004.7,55651493.9,455585693.65
Fifty Shades Freed,63760074.09,116400113.03,44701834.36,431232587.4
Fifty Shades of Black,6149369.33,14373462.07,7256905.18,27337038.56
Fifty Shades of Grey,50670803.26,210495675.47,107892644.65,721617435.21
Fighting,0.0,34927224.46,16675348.79,49133040.61
Fighting with My Family,12380596.91,25840428.46,156198.11,46712433.34
Filth,6719581.9,46245.51,10114.31,11410382.25
Final Destination 2,46958892.1,84817176.2,29259002.0,164249794.78
Final Destination 3,41321190.81,89415835.51,33263558.6,196507504.58
Final Destination 5,57030435.47,60719795.65,25708459.15,225110025.91
Final Girl,10134160.65,0.0,0.0,42324.06
Final Portrait,0.0,551618.73,30414.9,2003422.73
Final Prayer,0.0,0.0,0.0,0.0
Final Score,20600000.0,0.0,0.0,1516953.1
Finch,0.0,0.0,0.0,0.0
Find Me Guilty,21487019.22,1939853.05,1037988.31,4357959.22
Finding 'Ohana,0.0,0.0,0.0,0.0
Finding Dory,245974773.08,598082201.35,166107100.02,1265868570.32
Finding Nemo,169774456.06,687845292.34,126882402.69,1700702898.55
Finding Neverland,43837651.33,90622267.72,386690.17,204547555.99
Finding Steve McQueen,6190298.46,0.0,0.0,24654.27
Finding Vivian Maier,0.0,1976446.93,82983.57,3113131.41
Finding You,0.0,2921702.69,976532.99,3529492.3
Finding Your Feet,6260080.0,1644641.26,69709.47,18288191.92
Fire Island,0.0,0.0,0.0,0.0
Fire at Sea,0.0,148732.34,0.0,1449255.08
Fire of Love,0.0,1154024.36,23088.48,1745924.16
Fire with Fire,14396032.26,0.0,0.0,3460968.11
Firebird,0.0,148441.54,59101.4,261190.49
Fired Up!,30251794.5,26063873.71,8294706.26,28132810.58
Fireflies in the Garden,12463739.33,109992.5,57464.07,10426201.5
Firehouse Dog,0.0,22357384.71,6160333.22,27896897.13
Fireproof,778983.71,52123851.77,10650321.35,52150306.05
Firestarter,12360000.0,10031427.5,3942546.45,15490427.5
Firewall,82642381.61,80578287.31,22537342.73,136775106.81
First Cow,0.0,110439.73,88863.84,1515185.09
First Daughter,52605181.59,15879612.29,7017648.71,18573451.75
First Kill,11940522.97,0.0,0.0,414688.39
First Light,0.0,3816.33,317.64,30532.96
First Man,68397170.38,52093771.61,18555416.19,122550592.94
First Reformed,4057459.26,3997473.78,113101.1,4477693.79
First Signal,0.0,933.59,599.41,933.59
First Snow,12837651.51,344793.64,24373.89,920883.26
First Sunday,0.0,59096615.95,27599113.91,60465199.97
First They Killed My Father,28657255.12,0.0,0.0,0.0
Fish Tank,4537769.17,566729.56,39106.49,3636719.48
Fisherman's Friends,0.0,0.0,0.0,12727496.21
Fist Fight,26269150.52,38432981.57,14569674.48,49179452.24
Fistful of Vengeance,0.0,0.0,0.0,0.0
Five Children and It,28056096.85,0.0,0.0,8894001.89
Five Feet Apart,7878561.67,51468641.11,14845783.1,104176994.16
Five Fingers,0.0,0.0,0.0,759903.31
Five Minutes of Heaven,0.0,23711.36,8113.53,551119.63
Flags of Our Fathers,148756286.9,55539607.61,16933738.03,108923070.53
Flash Point,12837651.51,8265.84,5248.99,9913435.09
Flash of Genius,31159348.33,6921078.62,3507101.5,7482844.28
Flashbacks of a Fool,0.0,2592.46,1589.13,1740668.7
Flatliners,22686993.63,20159322.24,7850089.06,53921316.9
Flawless,31159348.33,1869925.46,283409.85,10624694.34
Flee,3607060.0,360445.02,26303.95,755603.75
Flicka,24792714.48,34710043.25,12732796.03,36186770.05
Flight,42911249.99,129802897.61,34468206.86,223930800.82
Flight 7500,0.0,0.0,0.0,3636941.24
Flight of the Phoenix,78907772.39,36839724.3,8801600.89,61410406.98
Flightplan,93633818.37,152720671.65,41930820.75,380301923.28
Flipped,20559471.99,2577588.0,329293.72,6351139.57
Flood,0.0,0.0,0.0,13275301.5
Flora &amp; Ulysses,0.0,0.0,0.0,0.0
Florence Foster Jenkins,35666342.1,33678583.06,8118782.34,60328740.76
Flower,0.0,380459.84,56710.53,441165.23
Flu,0.0,0.0,0.0,26577092.76
Flushed Away,246274297.21,106882502.85,31097209.22,294672244.41
Fly Me to the Moon,23531975.8,0.0,0.0,22216037.26
Fly Me to the Moon,25714025.32,0.0,0.0,24276063.75
Fly Me to the Moon,34605846.77,19125934.48,2630768.31,64576467.38
Fly Me to the Moon,37814743.12,20899425.0,2874711.56,70564449.47
Flyboys,99170857.94,21636816.8,9924059.16,29516650.54
Flying Home,0.0,0.0,0.0,682124.98
Flypaper,7128804.43,7190.11,1565.49,6349817.16
Flytrap,0.0,0.0,0.0,0.0
Flywheel,36122.22,0.0,0.0,0.0
Focus,63465181.08,68231990.02,23669772.52,201622879.59
Folklore: The Long Pond Studio Sessions,0.0,0.0,0.0,0.0
Follow Me,0.0,183536.61,86524.31,4783296.61
Foo Fighters: Back and Forth,0.0,0.0,0.0,246026.45
Food Matters,0.0,0.0,0.0,0.0
"Food, Inc.",0.0,6682128.3,91531.34,6967289.28
Foodfight!,87354564.66,0.0,0.0,161459.46
Fool's Gold,109057719.16,109417673.51,33635418.16,173294337.59
Foolproof,14448889.88,828987.0,415969.09,1407025.67
Foosball,29566160.35,0.0,0.0,44038715.2
Footloose,34218261.28,73858323.37,22179297.47,90597591.68
For Colored Girls,30839207.98,55407333.51,28632477.62,55777824.01
For Greater Glory: The True Story of Cristiada,16610806.45,7852545.58,2610122.46,14082755.21
For Sama,0.0,49292.78,10523.51,1572950.34
For Your Consideration,19834171.59,9173177.09,614879.15,9794175.09
"For a Good Time, Call...",1176598.79,1732713.36,199239.7,1918669.96
For the Bible Tells Me So,0.0,501873.54,11894.08,501873.54
For the Love of Spock,0.0,98563.32,0.0,98563.32
Force,171091306.42,0.0,0.0,7571413.37
Force Majeure,0.0,1773835.23,30412.96,5342183.73
Force of Nature,16390905.0,0.0,0.0,697401.32
Ford v Ferrari,109849659.86,132387250.07,35425342.52,253811477.08
Forever My Girl,4057459.26,18984348.75,4921848.79,18984348.75
Forever Strong,0.0,1121044.8,0.0,1121044.8
Forget Me Not,1853489.15,0.0,0.0,0.0
Forgetting Sarah Marshall,46739022.5,98420638.98,27615486.59,164884766.0
Forks Over Knives,0.0,993908.14,23713.4,993908.14
Forsaken,13528612.52,0.0,0.0,0.0
Fortress,20600000.0,0.0,0.0,53734.07
Found,9552.42,0.0,0.0,0.0
Four Brothers,76609487.76,126821697.09,36052297.26,157261699.04
Four Christmases,124637393.33,187183615.55,48405776.55,255682271.97
Four Good Days,0.0,888874.0,316528.0,916714.14
Four Lions,0.0,447338.87,60961.77,9030536.6
Fourth Man Out,774820.54,0.0,0.0,0.0
Foxcatcher,30402481.95,15323230.94,343138.88,24330236.04
Fracture,0.0,62607650.61,17940617.99,147651544.41
Fractured,0.0,0.0,0.0,0.0
Fragments,0.0,0.0,0.0,59249.65
France,0.0,52352.23,6164.89,1430621.53
Frances Ha,0.0,5469505.82,184651.42,12121612.37
Frank,84810256.95,24888926.87,11234672.52,100208118.85
Frank &amp; Lola,0.0,11300.08,7068.09,11300.08
Frankenstein's Army,0.0,0.0,0.0,0.0
Frankenweenie,53985120.96,48851091.66,15797171.77,116618493.57
Frankie &amp; Alice,0.0,921882.27,10135.48,921882.27
Frankie Go Boom,0.0,0.0,0.0,0.0
Franklyn,18151076.7,0.0,0.0,1935473.51
Freak Show,0.0,20895.49,5101.87,21915.01
Freakonomics,4258747.77,148718.41,46835.95,179478.32
Freaks,2251.02,311305.61,181818.07,414648.7
Freaks of Nature,0.0,89887.47,54107.55,89887.47
Freaky,5463635.0,9868259.09,3934205.12,19749328.22
Freaky Deaky,8305403.22,0.0,0.0,0.0
Freaky Friday,36122224.69,199088241.03,40101100.39,290506367.28
Fred Claus,160470643.91,115549738.71,29711898.75,157001828.63
Freddy vs. Jason,54183337.04,149245198.79,65742448.94,210670993.12
Free Birds,73915400.86,74923983.23,21240916.88,148350994.13
Free Fall,0.0,0.0,0.0,805974.87
Free Fire,6567287.63,2148472.63,1187402.62,4441137.81
Free Guy,127308000.0,129033657.82,30092869.83,351716567.82
Free Jimmy,165284763.23,0.0,0.0,3764537.34
Free Solo,0.0,20334930.87,341160.45,34071388.48
Free State of Jones,61493693.27,25593719.41,9312858.26,30791060.6
Free to Play,159135.0,0.0,0.0,0.0
Freedom Writers,33698835.22,58741245.24,15093198.0,69155104.82
Freedomland,39958798.5,13274920.76,6188825.93,15548155.75
Freeheld,8609117.06,671758.34,46714.3,1780041.95
Freelancers,14783080.17,0.0,0.0,613296.24
Freerunner,5150000.0,0.0,0.0,230963.08
French Exit,0.0,787076.41,0.0,1651569.87
Frequencies,0.0,0.0,0.0,0.0
Frequently Asked Questions About Time Travel,0.0,0.0,0.0,36029.89
Fresh,0.0,0.0,0.0,0.0
Frida,22323534.86,48153724.99,383213.24,104731745.58
Friday After Next,18602945.72,61861508.31,24203859.22,62369789.16
Friday Night Lights,52605181.59,107412628.26,35541858.03,108631050.19
Friday the 13th,28739204.77,98321386.03,61366317.23,138415806.07
Friend Request,11821117.74,4488535.72,2391523.16,13105189.63
Friends with Benefits,49901631.04,79561384.03,26550733.1,213211483.85
Friends with Kids,13842338.71,10037180.85,2794883.08,18052145.5
Friends with Money,10743509.61,22095989.44,1052863.94,30156608.35
Friendship!,0.0,0.0,0.0,55894732.51
Friendzone,0.0,0.0,0.0,0.0
Fright Night,42772826.61,26095141.19,10998872.68,58459913.32
From Beginning to End,0.0,0.0,0.0,605674.2
From Justin to Kelly,21673334.82,8902110.96,4905123.58,8902110.96
From Paris with Love,76363753.1,35358513.28,11981560.97,77603923.95
From Prada to Nada,0.0,4325221.02,1590633.02,5805838.06
From Time to Time,0.0,0.0,0.0,234436.72
From Within,0.0,0.0,0.0,344891.63
From a House on Willow Street,0.0,0.0,0.0,75839.04
Frontera,0.0,77889.74,14302.92,77889.74
Frost/Nixon,37814743.12,28167492.75,273337.06,41484792.51
Frostbiten,0.0,0.0,0.0,206622.48
Frozen,201587456.9,538847316.14,327095.81,1793176297.09
Frozen,220280057.02,588813011.23,357426.42,1959452155.59
Frozen,0.0,330839.96,176583.89,5165710.84
Frozen,0.0,361517.76,192957.99,5644711.71
Frozen II,168826321.5,537288167.7,146612557.05,1636133559.19
Frozen River,1557967.42,3912797.78,109422.28,8502862.68
Fruitvale Station,1209524.74,21638853.21,519142.8,23365101.71
Frágiles,7878561.67,0.0,0.0,7519441.07
Fubar,613727.12,0.0,0.0,0.0
Full Frontal,3720589.14,4674633.77,1376309.17,6397188.41
Fullmetal Alchemist,0.0,0.0,0.0,9336377.22
Fun Mom Dinner,0.0,0.0,0.0,397483.29
Fun Size,19379274.19,13025001.21,5676766.64,15804299.19
Fun with Dick and Jane,170243306.12,187834099.21,24486971.47,348457231.89
Funhouse,0.0,554.01,274.27,120823.92
Funny Games,23369511.25,2017441.61,848832.06,12382221.8
Funny People,113444229.36,78435408.25,34271925.22,108279090.91
Fur: An Imaginary Portrait of Diane Arbus,27767840.22,368918.9,47626.8,3822568.82
Furious 7,240686315.46,447178731.46,186452138.64,1919589147.34
Furry Vengeance,51398679.97,25890932.24,9732801.17,53384056.78
Fury,88724576.5,111972902.44,30926283.31,276380574.77
Future World,0.0,0.0,0.0,189324.53
Fyre,0.0,0.0,0.0,0.0
Fyre Fraud,0.0,0.0,0.0,0.0
G-Force,226888458.73,180658831.07,47959582.58,442913343.77
G.B.F.,0.0,0.0,0.0,0.0
G.I. Joe: Retaliation,174709129.31,164660747.18,54431051.23,504964087.84
G.I. Joe: The Rise of Cobra,264703201.85,227193242.53,82758391.2,457511527.2
G.O.R.A.,8512165.31,0.0,0.0,35477085.98
Gabriel,320941.29,0.0,0.0,2239544.35
Gaga: Five Foot Two,0.0,0.0,0.0,0.0
Gaia,0.0,18597.58,0.0,50777.86
Gainsbourg (Vie héroïque),16888137.7,342178.63,36990.9,17946151.63
GallowWalkers,22181144.13,0.0,0.0,184881.14
Gallows Hill,3261932.96,0.0,0.0,1954892.08
Galveston,0.0,0.0,0.0,261758.29
Gambit,0.0,0.0,0.0,10506000.0
Game Night,42893140.75,80300863.21,19713840.51,136525655.82
"Game Over, Man!",31416327.41,0.0,0.0,0.0
Game of Death,18534891.53,0.0,0.0,270616.55
Gamer,75629486.24,31060889.33,13849357.74,61756830.08
Gangs of New York,186029457.17,144753241.21,16928680.6,360473937.34
Gangster Squad,80634982.76,61821367.01,22941118.93,141381216.66
Garden State,4383765.13,46962953.22,352656.37,62819908.46
Gardens of the Night,3478956.37,17297.98,4646.68,17297.98
Garfield,87675302.65,132161030.53,38099497.41,356264063.03
Garfield: A Tale of Two Kitties,99170857.94,46985081.47,12047568.38,236895990.16
GasLand,0.0,43979.02,3765.43,70472.51
Gekijouban Psycho-Pass,0.0,175277.91,0.0,175277.91
Gekijôban Poketto Monsutâ Adobansu Jenerêshon: Rekkû no hômonsha Deokishisu,17891022.26,0.0,0.0,60210589.75
Gemini,0.0,232248.97,38232.86,232248.97
Gemini Man,155320215.78,54639817.33,23131875.75,195241468.52
Gemma Bovery,12656299.88,249907.12,24914.64,6060051.67
Generation Iron,0.0,1141685.19,329259.51,1211740.86
Generation Um...,2284657.84,0.0,0.0,0.0
Genius,0.0,1673913.68,120864.62,9144119.57
Genova,0.0,0.0,0.0,3248785.59
Gentlemen Broncos,14685337.13,166945.85,16891.07,174009.5
Geography Club,8350548.38,0.0,0.0,0.0
George Harrison: Living in the Material World,0.0,0.0,0.0,222579.81
George and the Dragon,34967264.0,0.0,0.0,52053.14
Georgetown,0.0,0.0,0.0,39163.0
Georgia Rule,32094128.78,30654822.64,10870072.81,40117928.96
Geostorm,143286275.58,40239753.44,16367323.79,264960395.65
Gerald's Game,0.0,0.0,0.0,0.0
Gerry,6511031.0,473785.4,48897.84,473785.4
Get Hard,50670803.26,114530523.68,42820949.55,141639403.42
Get Him to the Greek,58741348.54,89543072.2,25803539.8,134694286.67
Get Low,10279735.99,13476635.5,129498.24,15452662.15
Get Me Roger Stone,0.0,0.0,0.0,0.0
Get Out,5373235.33,210388032.48,39853955.14,305373092.04
Get Rich or Die Tryin',68097322.45,52750487.66,20464619.26,79272026.67
Get Santa,0.0,0.0,0.0,6260591.4
Get Smart,124637393.33,203033079.82,60267601.4,359400419.26
Get a Job,0.0,0.0,0.0,29406.28
Get on Up,0.0,0.0,0.0,83312683.96
Get the Gringo,21854540.0,0.0,0.0,9645323.11
Getaway,24190494.83,14113726.49,6052854.23,15866857.35
Ghajini,311593483.32,3786837.67,1194741.34,59695989.39
Ghost House,0.0,0.0,0.0,1199013.58
Ghost Rider,176517708.3,185829171.47,72835757.39,367057972.12
Ghost Rider: Spirit of Vengeance,78901330.63,71667327.19,30612794.39,183499481.94
Ghost Ship,37205891.43,56019963.84,21399755.36,127150918.18
Ghost Stories,0.0,172438.54,13878.83,4789376.22
Ghost Town,31159348.33,20826322.63,7809023.45,42205585.03
Ghost in the Shell,131345752.62,48435008.39,22300160.09,202806134.74
Ghost in the Shell 2: Innocence,3507012106.15,1830477.95,557127.45,17166212.29
Ghost in the Shell: The New Movie,0.0,128200.93,0.0,2170491.46
Ghostbusters,177101836.62,157855016.57,56597264.09,281822532.65
Ghostbusters: Afterlife,79567500.0,137238634.02,46688517.93,216778423.31
Ghosts of Girlfriends Past,56722114.68,83570621.63,23311176.71,154838992.54
Ghosts of War,0.0,0.0,0.0,377306.61
Ghosts of the Abyss,23479446.05,30777708.56,2543860.72,49794624.0
Giallo,19960652.42,0.0,0.0,71449.16
Giant Little Ones,0.0,204287.73,14678.89,204287.73
Gifted,8358366.08,29613944.15,533001.06,51426941.65
Gigantic,0.0,155349.02,15570.6,250920.48
